"score","city","title","review"
"2","Enterprise","ewan mcgregor's hot","although ewan mcgregor is my ultimate favorite actor in the entire world..i have to say that this was a terrible movie. and yes..sadly"
"4","Storrs","Riveting Reading!","Fast paced"
"3","Tucker","good for a b-day prsent?","my brother loves these game. )hes favorite is the one for computer but we lost the disk when i was in kindergarten) when this comes out tell me how great it is!"
"1","Lanham","TERRIBLE"," TERRIBLE."
"3","Newport East","Fast moving police drama","This is a story about a New York City police detective (Gene Hackman) and his partner (Roy Scheider) and their relentless pursuit to discover a drug source. The high speed chase scenes take them far outside the city limits and get deadly when an attempt is made to kill Gene Hackman's character (Popeye Doyle).This is good police drama and quite entertaining."
"4","Clarksville","Timeless"," Greyish and Well Structured Police Story"
"4","Long Beach","THE BEST CRIME MOVIE EVER MADE!","French Connection is a exciting action/crime film starring Gene Hackman as Popeye Dole"
"4","Lebanon","THE FRENCH CONNECTION","DEFINITELY KEEPS YOUR INTEREST. IT CONTAINS SO MANY DIFFERENT FACETS THAT ONE WANTS TO VIEW IT SEVERAL TIMES OVER"
"2","Pontiac","inadequate disclosure","Received the book in a timely fashion but the CD-ROM and the Timeline were NOT included. This should have been clearly stated in the listing! The Timeline was to be a 60th birthday present for my twin sister."
"3","San Marcos","Low quality sound","The volume is low and even with my Tv turned all the way up I can barely hear it : ("
"3","Beaufort","THE REAL PLAYAS","TWO PLAYAS PLAYING HARD TO GET WITH EACH OTHER MORRIS CHESTNUT AND VIVICA A. FOX PLAY GAMES WITH EACH OTHER . THIS IS JUST A MOVIE ABOUT THE PERSON WHO HAS THE BEST GAME I ENJOYED IT AND I LIKED IT A LOT. IF YOU LIKE COMEDY AND IF YOU ARE A FAN OF ANY OF THE CHARACTERS IN THE MOVIE THEN YOU WOULD DEFINITELY LIKE THIS MOVIE."
"3","Riviera Beach","GREAT resource!","I've been in a Disciple bible study class for 5 years and have seen others with this book; finally decided to order it for myself. It's a great resource and has good information that is factual and concise. I highly recommend this book to anyone interested in the Bible!"
"5","Oakville","AWESOME!","Awesome guide! The best as finally been put out for a reference price guide on the best ever movie star MARILYN MONROE! Even she would be amazed I bet! Terrific job! Thanks for all the hard effort in making it! All worth it!"
"5","Anderson Creek","Crystal Growing Science Kit","This was a gift to my grandson and he was mesmerized and could not wait to start growing the crystals. I told him I did something like that when I was a child"
"2","Dyersburg","I never thought Meryl Streep could give a bad performance.","I never thought that Maryl Streep could give a bad performance. It is difficult to believe this is the same actress from Sopjie's Choice and The French Lt.'s Woman. Oh"
"3","South River","Okay !!!!","This movie was okay"
"1","Marlboro Village","Too drawn out!","I usually enjoy reading this author however that was not the case in this particular title. The plot was too drawn out."
"3","Harahan","Hilarious","This movie was even funnier than the first. I love how they brought back characters from the first movie and continued storylines. Definitely recommended"
"2","Kirkland","Not quite...","Tremors 2 doesn't live up to what I had hoped for. The movie has its funny moments"
"2","Yorkshire","Worthless!","They peeled off within a week. I cleaned the tub; wiped it down with alcohol and even put a heater in it for a couple hours to warm up the surface. I did everything I could to insure they would adhere well"
"1","Plymouth","I really don't recommend this product.","Purchased this a while back"
"3","Bristol","drying and sticky","I didn't care for this product at all. I found that it dried out my hair and was also very sticky. I will not purchase again..."
"4","Acushnet","This book is possibly the best I've ever read.","This book is extraodinary. I started reading it expecting it to be boreing. After the first eight pages"
"3","Canton","A story as lush as the planet it is set on!","Come on! This book is over rated. It is an amusing story but unengaging. The characters are cold and it is difficult to empathise with them. I did read the next two books to see how the story was resolved...but it wasn't"
"2","Coral Hills","A Great Book"," Horrible Price"
"2","Plantation","predictable","After 10 pages everybody could guess the end.I just hate predictable book the first part of this book is worth reading but if your not an hard core sci-fi fan drop it after."
"2","Robinson","It;s just not very good","I read the Dune novels as a teenager and recently started re-reading them 15 years later.Dune Messiah is exactly as I remembered it: a disappointment not just in comparison to Dune"
"5","Brownsburg","You won't regret","Simply the best novek I have read. This not just a sci-fi novel. The world created by Herbert can only suit a envoirement in future. The story starts somehow complicated but soon you will discover the intelligence of the author. If you haven't read it yet"
"4","Ledyard","Brief"," but to the point"
"4","Milford city","The Greatest Novel Ever Written","Words cannot describe the depth of this book's greatness. Not only is Dune the greatest single sci-fi novel ever written"
"5","Nashua","The best book I ever read","Dune is the best book I ever read. I know it is not a good argument to persuade you"
"2","Chapel Hill","Great writing - poor publishing","ACE reprint of 'Dune' - ISBN0-441-17271-7never before have i seen a book contain so many print & editorial errors...ink application is not homogeneous"
"1","Farmington","Do yourself a favor and don't open it!","I rather liked Dune but this poor excuse for a sequel is just plain awful! When i closed the book I couldn't even remember what it was all about. So unless you are a great fan of Frank Herbert or intend to read the entire series"
"1","Kingsbury","Sorry"," but I really didn't like it very much"
"4","Lake Forest","Read the Series","I only read Dune after I had seen the movie (2 hour version) and was overwhelmed! I then proceded to read the rest of the series (6 books) and tape all three (the two"
"4","Dublin","DUNE ...Best Science Fiction Book I have ever read!","Of course that is just what every other review thinks but hell it's the truth! I picked this book up from my girlfriends brother for a school report... (yeah i don't read muchy for my enjoyment) but anyway i read it and now i want more. This book has got me reading for the hell of it and i am purchasing Dune Messaih and Children of Dune and can't wait to read them. Dune changed my outlook on reading with it's indept look at politics"
"3","Bullhead City","A Lifetime Favorite","I love the original Dune books and have also enjoyed the new ones. I own the entire series and can't think of a better recommendation to give."
"3","Forest Park","Kindle version","I have climbed out of bed to write this for you"
"2","Winona","Embarrassing Ebook","After reading the Kindle sample of this book"
"3","Hamburg","DUNE is the book for our time","I was only 4 years old when I first saw the screen version of this book and then I was hooked. Granted I shouldn't have gotten interested in the book just because of the movie"
"1","Juneau","What was the point of this book again?","This book was a complete let-down from the first one. The ending was well done"
"3","Hamtramck","No doubt about it!","One look at all these reviews will leave you with no doubt that this is one of the best science fiction stories ever told. But wait! The best is yet to come. There are five other books in the series. My advice"
"4","Highlands","Dune","This is my favorite novel of all time. I have read and re-read it since I was a teenager. Frank Herbert was an absolute genius. Science fiction is not usually my favorite genre of reading but this is the exception. I have the entire collection of Dune books including the rare Dune Encyclopedia. A must read!"
"3","East Donegal","Interesting continuation.","Like dune"
"4","Calera","just a few steps to total enlightenment","1. Read the book during the summer-time2. Download the song Final Dream from the 80s movie Dune3. Immerse yourself in water and/or listen to the song.4. Break out in tears.This book will change your life forever. :)"
"3","Hunters Creek","Dune","Dune is one of the most inspirational sci/fi books that I hav ever read. The technology in the book seemed to be extremely none feasible to the recent human culture thst sorrounds us as a people. The story of the chosen one"
"5","Red Wing","Just the Best","Honestly"
"4","Cape St. Claire","Not the best book ever"," but it is up there."
"3","Davenport","An over-rated piece of fiction","I had several close friends recommend Dune to me"
"5","Cathedral City","Warm and self sacrificing","Jane and Tom meet fall in love and there are many obstacles to overcome. Different ending bittersweet. Loved it. Will not tell all as it will ruin the movie."
"1","St. Louis Park","Horribly Disappointing","First"
"3","Milford","Curl up and enjoy on a Rainy Day with a Cup of Tea.","If you remotely enjoy Jane Austin's works"
"4","View Park-Windsor Hills","GREAT MOVIE","Anne Hathaway did a great job as Jane Austin and this movie stayed very true to her real life (what we know of it anyway)."
"3","Rochester Hills","Contrived and so far from what we know about Jane Austen it is impossible to make the leap","This is no Mrs. Brown. It is a fictitious assumption about Jane Austen and her paramours made into a romantic tale that hardly holds up with plot contrivances galore and the inevitable heartbreak. Watch it once then forget that you did. It is harmless."
"4","Naples","one word: unbelievable","this is truly the most compelling book on commercial office space that i have read"
"4","Cherry Hill","Greaat Movie","This is a great movie!Its 1969. Alan Parish has troubles with his father. He finds a game named Jumanji at a construction site. He plays with his former friend Sarah Whiddle. They play"
"5","Berwick","My Son's FAvorite","I did not see this movie in the theatre"
"3","Grants","Jumanji is fun!","What a great movie and a clever concept! A board game that sucks you into it"
"3","Marlboro","Day-Timer stand","I was tired of having to pick up my Day-Timer every time I wanted to view it"
"2","Utica","So where's the rest of it????","I was intrigued by the now cancelled TV show and so decided to pick up the book that the show was based on so I could have some closure on the story. Unfortunately"
"1","Blanchard","a sorry bit of commercialism","I should have known better after the Rose Red trash. This is a cheap ploy to sucker you in to watching the series. Not only that "
"5","Mesquite","Great toy! Great service!","I ordered this for my daughter because she lost her other 'Scat' beanie baby. It is a very durable toy. The order came quickly in the mail and in very good shape."
"2","Freehold","Fuel Pump","Though I'm sure that this pump would've operated properly"
"3","Moncks Corner","Plays but is noisy","This is noisy CD player it makes a whiring sound when CD's are played. Terrible fast forward and backwards"
"3","Folsom","This book is being revised - so the FACTS can be adjusted","I started reading it"
"1","East Peoria","Kerry's Tour Of Duty For North Vietnam","The book has no information on Kerry's tour of duty with Hanoi Jane and her gang.Nothing on how North Vietnam's leader dredit Kerry & Fonda for saving North Vietnam from defeat. Nothing on how Kerry's family financial benefitted from the normalization of relations with his old comrades in the new Vietnam."
"2","Jackson","Not a hero.","Offshore for so long in his first tour. Then back for only four months"
"1","Euless","Campaign for Kerry","To call this book an unbiased look at Kerry's life is extremely naive. From the very beginning it reads like a cheesy campaign commercial. If you like Kerry and his politics"
"2","Oak Harbor","Waste of time and money","This book is a waste of valuable paper. Kerry is a freaking traitor and only received commendations because he had friends in high places. To anyone who supports him and his too obvious lies"
"3","Bridgeview","Shame on Amazon.com's Political Bias","The following disclaimer appears on the Unfit for Command Swift boat book:Important note from Amazon.com: We've decided to suspend our normal customer review policies and rules for this title. For example"
"4","Cheshire","Liberals Read This Book!","A Masterpiece!Reviewer: A reader from New York"
"3","Newport Beach","what a world","A friend of mine recommended this CD to me and I have to admit it was way beyond anything I ever imagined. I have practically worn the CD out listening to it and hanging on every surreal nuance within the deep lyrics and the haunting music. Being a sax player myself"
"4","Penn Forest","Chilling!","I've been a Morphine fan for quite a while. And when I heard the news of Mark Sandman's (the singer)death"
"2","Plainville","Dangerous!","I have tried this item a few times and learned:The strainer top does not hold tight to the cooker"
"1","New Hyde Park","Misleading information","I used to geocache and so I read this book with interest. The information is misleading (GPSr: Slang of a GPS receiver. An initialism is hardly slang) to slightly dangerous (the author recommends turning off the GPS for most of your trek to save batteries. Instead of losing your breadcrumb trail back to your camp or car"
"5","Kenmore","A Classic","This is a movie that my mother took me and my siblings to when it first came out. I remember loving the title and thinking it would be really scary since it was about murder and death. What I remember most about it is Maggie Smith saying"
"3","Land O' Lakes","This is one funny movie!!","This movie is hilarious!! I found it amazing because this film was truely a pionear of its genre(parody). This was before Lethal weapon and even before the movie Clue it is indeed one of the first of its kind.It follows the same basic premise as most other murder mystery movies but it turns all of the stereotypes on their head.For example-The butler is blind and this is but one many things that make this movie unique. You can tell the producer and director had a lot of fun making this one.The first time you watch it you can have a dozen different guesses for how the movie turns out but you will not be right. I love this movie!!"
"3","Fords","personal top #10","If you haven't had the chance to see it then trust me and please buy it! Laughs are assured!!"
"5","Hinesville","Great comedy from before foul language","This movie has always been a favorite of mine. I originally saw it when it came out"
"2","Pequannock","Pathetic Attempt at Bond","This film is awful. The plot is a twisted Bond-film scenario with only difference being that Disel isn't a professional spy"
"3","Sikeston","<*** This movie is BAD! ****>","I was able to see this movie in Europe for free and let me just say it was terrible; big explosions"
"2","Waukegan","Top 10 reasons you saw XXX","10.You're a girl that has a crush on Vin Diesel 9.You're a kid that has no idea who James Bond is. 8.You're a serious movie goer looking for comedy relief. 7.You thought it was rated XXX. 6.You're a student from the USC film class Bad Movies 101. 5. You had nothing better to do with your time and money. 4.You're a first-time moviegoer that was tricked by your 15-year-old sister. 3.You're a critic that's in hot water with his boss. 2.You believe that the WWF and WCW is a real sport. 1.That Vin Diesel guy is hot even if he can't act."
"4","Lakeland","Please! It's Entertainment Not Reality!","There's only one reason to see this movie. Entertainment. It's just that simple. If you're looking for profound"
"2","Riverdale","Mindless"," Pointless and Insulting"
"3","Mason City","head for the XXX-it","I've only ever walked out of one movie"
"3","Springs","Unleaded","Probably one of the most pointless films with one of the most pointless stars of today....and the best thing is we can expect a sequel. Could someone please explain to me the appeal of Vin? I mean"
"2","Dearborn Heights","Triple Bad!!!","This movie doesn't even deserve one star. Vin Diesel is the worst actor. For ANYBODY to call him the new James Bond is sad and laughable. Say what you want about Roger Moore's performances as James Bond"
"2","Durant","HORRIBLE!!!!!!","Well i saw this movie on the night of its release... Just like most women in this world I am a HUGE VIN DIESEL fan... I saw him in the Fast and the Furious"
"4","London","Good introductory real options book for beginner or manager","It is a good introductory book on real options targeted at the audience of managers rather than experienced financial practitioners. Its contents covered financial options"
"5","Mountain Top","An American Classic","Although this extremely gifted author did an excellent job"
"3","South Lyon","Captivating","Been listening to the book for the last two weeks so I feel like I'm family. Doesn't get 5 stars because it gets a little too in love with its own voice"
"2","Deming","deplorable","this was the worst example of american literature ever published. warren feels the need to describe such trivial objects as doorknobs"
"3","Brewster","Pointless","This book was profane and pointless"
"4","Uvalde","Extremely unappreciated","This is definately one of the most underrated books of all time. Many will believe that this book is about politics"
"2","Oxford","Thou Preachest Too Much!","This book has a preachy tone that current readers will find hard to take but at the core of this book there are useful truths and insights into the learning process. For the good student"
"4","Aurora","Ladies & Gentlemen...it's The Rolling Stones!","I'm not the most analytical reviewer out there for some of you who want a well-reasoned"
"4","Centralia","This is a great album"," a thrilling display of funky brilliance and virtuosity."
"4","Lower Merion","say YES to THE STONES","THE STONES WERE A GREAT BAND AND ALMOST AS GOOS AS THE BEATLES.ALL THEIR ALBUMS INCLUDING THIS ONE ARE CLASSICS.IGNORE THE ONE STAR REVIEWS AND BUY THIS ONE."
"3","Kissimmee","the same thing.....","The rolling stones are making the same music from 20 ago....and now..as multi-millionaries"
"2","Progress","YUK..............","Are they still alive? This CD stinks!!!! They are living off Media Baby Boomers Hype!!! When was the last time they had a hit 1970?"
"3","Bloomingdale","What a Bunch of Trash!","I have been patiently waiting for some new Stones and what do I finally get"
"3","Citrus Springs","Oh"," Pleeeze"
"2","Lansdowne","This CD reminds me of a not good CD","I was definately not ready for the disappointment I suffered when I decided to buy this instead of another Tom Waits CD. I was very sorry to see that the early music by the Cherry Poppin' Daddies was just as god-awful as all the other alternative music that I hate.I like mittens!"
"3","Americus","Another winner","Another winner for Jance in the Joanna Brady series. I have read all of the books in the series and am currently reading the next installment"
"3","Longview","TL!","Bought this cd many"
"2","Thomaston","OK"," but there's better stuff out there for the money"
"2","Stony Brook University","Big Disappointment","Anyone who saw the stage production of JOSEPH AND THE AMAZING TECHNICOLOR RAINCOAT must be disappointed by the movie. The main problem is the staging of it as a play at a school"
"1","Lexington","thumbs down","All the children magically popping up"
"5","Norridge","Improves with age...","I thought this was a pretty good video. In response to one comment"
"4","Alexandria","Joseph ...","All I have to say is that I love it! The music is awesome"
"3","Aurora","Best Musical of All Time","Nothing better than learning a Bible Lesson through so much entertainment. I wish there were more DVD's out like this. Enjoy!"
"4","Fort Dodge","Can't get enough!!!!!","I have seen a few broadway shows in the past"
"3","Fullerton","Can we say overproduced?","I agree wholeheartedly with Donald-from-Ohio's review. I've been a fan of this Lloyd Weber/Rice musical for 20+ years and have seen it grow as songs were added and various recordings made available. Having never had the opportunity to see the stage production"
"2","Waunakee","Not for Children","Donny Osmond was wonderful as always"
"4","Charlotte","Joseph and the Amazing Tecno Dreamcoat is the best!","I have wanted to see this musical for the last year"
"3","Battle Creek","The whole family enjoys it!","I saw Joseph for the first time about 4 years ago"
"4","Liberty Lake","Eye-opening version... Re-orchestrated?","This is a superb visualisation of the show based on the early 90's London Revival with Jason Donovan and (subsequently) Philip Schofield. The production was then moved to the US where Donny Osmond took the title role for 6 or 7 years. This version owes a lot to the original London Revival production. The Canaan sets and the Pharoah sets are practically identical to those of the stage version"
"3","Fairburn","Amazing Things About Joseph","This movie was amazing! I've seen the play and own the CD"
"2","Grand Terrace","Buy the soundtrack instead.","Joseph lovers; you will be disappointed with this film. Family viewing it is not. Potiphar's wife and her servants are definitely R rated"
"4","Central Point","I really like","the story being told. The actors are pretty good and they can definitely sing. The biggest reason I purchased this DVD is the singing."
"5","Sunland Park","A must have for aspiring colorists and lettering","This is by far the most informative book I have come across for lettering and coloring comics. it gives you step by step instructions on how to scan your art"
"3","Warren","Okay but short of expectations","I got this book to accelerate my knowledge"
"5","Ojus","Some people...","This was a very funny movie. I saw it awhile back and was just curious as to what other people thought. The guys that gave it 3-5 stars definitely got it right. I was reading the 1-star reviews and just got pissed off. What's wrong with people? What were you expecting from this movie? It was loaded with hilarious scenes. You got these clowns bad mouthing the movie I suppose because I guess it wasn't a groundbreaking thought provoking movie. Get out of your own asses"
"3","Mattoon","Much Respect","If you thought Bleed's debut was hot"
"2","Aurora","Stuff is great but don't buy here","Cha Cha Mix is definitely tasty"
"5","Riviera Beach","Awesome.... for the year that it was made","Texas Chainsaw Massacre is a very good movie... What really got me was the fact that it was based on a true story. TCM#1 was the best out of all of them. #4 was the Lamest of all of them...but opinions vary."
"2","Lockport","The Texas Chainsaw Massacre (Blu-ray)","I was very excited to see that the movie arrived within a couple of days of purchase. However"
"4","Chesterfield","THIS is horror!","No matter how many times I've watched this movie"
"4","Mitchellville","THE SAW IS FAMILY.","I remember when i was about ten watching this movie the one thought i couldn't get out of my mind is that this [stuff] really happend. From the moment that creepy guy jumps in there van and starts talking about how he worked in a slaughter house and then starts cuttin on his self the movie has your attention. I really dont know what else to say that hasn't allready been said so i just want to say love this DVD. 5/5."
"2","Rock Island","Widescreen yes"," anamorphic"
"4","Crystal","so scary","im young and this movies scared me for years i never have gone or looked at any supodley abandod houses very creepy a true horror film."
"4","Vineyard","Absolutely terrifying","I skipped this one during its drive-in days"
"4","Honeygo","Good"," but sometimes disturbing"
"4","Westtown","The Greatest Horror film of all time !","Tobe Hooper's 1974 landmark masterpiece debut THE TEXAS CHAINSAW MASSACRE is by far the single most influential horror film of all time. This is the holy grail of horror movies! When i was a kid this movie changed my life"
"3","Cocoa","DUMB DUMB AND DUMB","this is by far the worse horror movie ever. the acting is pATHETIC"
"3","Columbia","Mt Great-Great Uncle","I only bought this because my Great-great uncle"
"1","Nanuet","Despite great acting by De Niro"," this movie sucks."
"1","Cuyahoga Falls","All Star Cast.....But...","I saw this movie in my local video store"
"5","Littleton","Top Notch","This film is shot well"
"4","Enterprise","Great!","When I was a little kid. I would try to watch these movies but they really freaked me out. Now that im 15 I had to give this one a try. Freddy's Dead was on television and once I saw one part with Freddy and Carlos(Carlo's ear) it freaked me out"
"2","Hoboken","this is not a good movie","If your a die hard fan and saw them all"
"2","Frederick","What was the point of this????","Talk about beating a dead horse. How much further can the Freddy thing get stretched? The idea of a character from the movies 'becoming real because he was so evil' is ludicrous at best. It would be like walking into 7-11 and bumping into Darth Vadar as you were filling up your Big Gulp. Robert Englund was happy to make this I'm sure"
"3","Middle Island","He's Back!","Three years after the apparent death of the striped sweater wearing madman"
"4","Hollister","good","this is a really great movie it might even be the best in the series even if the first one in like this classic."
"3","Point Pleasant","Queen of Hell","I only saw about a third of this movie"
"4","Easthampton","Re-Discover Your Music Collection!","This is a fantastic product! I am NOT a technical guy"
"5","Brandon","National Geographic Africa Series","Beautifully photographed. However"
"5","Minden","If this CD doesn't perk you up"," you're dead"
"4","Willoughby","Damm Good Swing Cd.","This is a damm good swing cd. Don't listen to the other reviews saying that its Ska. There are only traces of Ska in tracks such as Dr Bones"
"3","Billerica","You call this swing?","Listen up all you people who think you know swing. This ain't nothin'! This isn't swing"
"4","Alden","This cd will make you want to get up and swing dance.","The songs are full of catchy phrases and brilliantly made. The Cherry Poppin' Daddies picked all the right hits to be on the album especially my favorite"
"3","Harahan","Zoot Suit Riot is the best song on the album.","This album is pretty good...not as good as I had hoped. Zoot Suit Riot is definitely the greatest song on the album"
"1","Hampton","Wasn't very impressed"," especially after all the hype."
"4","Prichard","THE best album of 1998. Period.","The CPD's are by far the best band alive in America today. Zoot Suit is the best CD of the year. On stage"
"5","South Valley","oh yeah","with the great beat good lyrics and skilled players they are simply the best"
"2","Cumberland","Awful stuff","I agree with the two previous reviewers. This is indeed horrendous fake swing that doesn't hold a candle to the original masters. It is also GRATE (not great) modern swing!"
"3","Apache Junction","Swinging and Swearing Don't Mix","These losers have a brain-dead idea. They trot out the old Swing/Jump sound of the '30s"
"1","Hobart","There's much better modern swing out there...","The swingin' sounds on this may rock"
"3","Fairview","Absolutely Love Hoku!","I bought Hoku's CD years ago. I didn't even know who she was but I was young and pretty much bought any CD. I am now almost 18"
"1","McComb","Hoku is a hit... with children five and under that is!","Hoku's ridicousily stupid Another Dumb Blonde is possibly one of the stupidest songs ever writen. Hoku didn't even write the song and the melody and lyrics are horid. Hoku is no small package thoiugh- she's two doughnuts away from 200. The title alone states perfectly what she is- another dumb blonde."
"1","West Lafayette","Another dumb blonde","Although she might say she's not"
"3","North Ogden","Great CD!","Excellent music that carries a fantasic sense of Place. To my knowledge"
"5","Centereach","still the best","This album is awesome. I love the song Dive. This song kinda reminds me one of the songs that I used to sing in my church youth group. He always sings how a true christian (or should I say disciple) should feel. Especially in the song The Change. I saw him in concert in California. I was sixteen years old. The feeling that I had while I was at that concert was the best. I own all his albums. He never disapoints me. He is the main reason I listen to Christain music."
"2","Signal Hill","Building the Custom Home Office","This has to be the worst book I have ever seen on the subject. 154 pages dealing with ONE home office layout/concept. AND this is from 2002. Very difficult to get ideas as it deals with one outdated office concept and explains how to build the components from scratch. In this day and age most components can be bought it is the ideas that are needed. Useless book. Don't know how it had over 4 stars when I bought it."
"4","Fairview","A cornerstone in brass-band funk","I first got this album in 1992. I was immediately hooked. This album is a cornerstone of music that the dirty dozen brass band have helped bring back to the spotlight. One of my all time favorites."
"4","South El Monte","Korean movie The Great Queen Seondeok","Great movie. Well directed and true historic account of the life of the Queen. Great action and plot. Not like some of those cheap Chinese movies."
"3","Puyallup","the great queen seondeok","the story line is perfect the cast and choreogophy are great but the dvd's suck out of the first 20 chapters only 5 have had no problems and i lost have of the story line"
"5","Riverview","Writers"," You Need This Book"
"2","Bay Shore","their lesbian schtick is running thin","god"
"4","Lemon Hill","THE MOST ENJOYABLE ALBUM OF ALL TIME!!!!!!!!!!","This has to be one of the most amazing cd's ever! Britney Spears only wishes she could make music like this. Great pop beats with meaningful lyrics align all the songs here.Coming from someone who loves Madonna"
"5","Moore","Tatu - Russian Music comes to the USA","Folks"
"4","Davidson","These girls are definetely gonna get you!","Talk about amazing. These girls are definetely worth listening to. A couple months ago my friend talked me into downloading one of their songs. I caved in and did so. I listened to just a little clip of them"
"2","Brookhaven","Not worth it - taped @ extended/super-long play & inaudible.","Inaudible particularly for Gollum's talking and some of the songs. Glitches appear in the taping including soem sections where the sound drops off for a second in the middle of a sentence. Not re-digitized. Not worth it. Perhaps other reviews refer to a different version of the movie."
"2","Prattville","didn't see it yet but not buying it","It is not fair to call this a review because I have not watched the DVD. Due to having seen several reviews here and on other websites regarding the lack of good audio and the sadly recrafted movie"
"1","Pleasant Hill","Great cartoon"," horrible quality"
"1","Chartiers","over-whelmed with a sense of its own importance","seeing this film successfully kept me from reading anything by tolkien for over ten years. after i had read the hobbit"
"2","Plainedge","Missing sounds... how annoying","For the first time in my life"
"2","Waldorf","The DVD sound is TOTALLY unacceptable","The DVD omits _all_ ambient noise in the movie"
"2","Tukwila","MOIVES ON PARADE! DO NOT ORDER-ITS WORST COPY OF HOBBIT","I have seen this moive over 1000 times and thats no exageration! being born in 1972 I remember this film in the theatres and has been a favorite ever since and is a FAMILY FAVORITE with my kids today.This THE HOBBIT:THE ORIGINAL UNEDITED 1977 ANIMATED CLASSIC as advertised it a complete lie"
"5","Royal Oak","Great version of J.R.R. Tolkein's The Hobbit.","Bilbo Baggins ( voiced by  Orson Bean) is a Hobbit that goes on a simple quest with Gandolf ( John Huston) and a bunch of Dwarfs that must find Gold from the evil Dragon  Smaug. A highly entertaining and all-around fun yet excellent Rankin-Bassfilm which is one of the best they did with  Return of the King"
"2","Calera","TERRIBLE DVD Sound - Avoid the DVD!!","Whether you like the original movie or not"
"2","Hot Springs","Disappointed...","What a bummer. First off"
"3","Berea","A review- post viewing of the Hobbit","Overall"
"2","Steubenville","Terrible DVD Transfer","My experience has been in line with several others here. Sounds are missing from the original version"
"2","Bellair-Meadowbrook Terrace","Unwatchable!","The animated Hobbit has for years been one of my all time favorites. Unfortunately"
"3","Broken Arrow","Now thats what I call a bible","Fantastic - it arrived yesterday"
"3","Novato","PRINT SIZE IS 6.2 NOT 9.5","I HAD TO RETURN MINE DUE TO INACCURATE DESCRIPTION6.2 IS UNREADABLE FOR ME"
"3","Southgate","Perfect-sized Bible","I bought this Bible as a gift"
"2","Bennington","Caution before downloading","The Kindle Touch version has been problematic for me. I can find no Table of Contents"
"2","Fairborn","Tiny Font","I bought the ESV single column legacy imitation leather Bible based on the stated font size of 9 points. When I received the Bible I could barely read the text even with reading glasses. I could not read the even smaller footnotes.I measured the capital letters and found them to be 0.090 inch high. According to Wikipedia the current font standard is 1 point = 1/72 inch. That should make a 9 point font 0.125 inch high. Even the old font standard has the 9 point font in the 0.125 inch range.Other than the font the Bible seems to have good quality. Use of the very large margins should allow the publisher to use a full 9 point font without increasing the page count.The Bible was promptly returned."
"4","Schertz","Good"," cheap Bible for travel"
"4","Sedalia","Great for Gifts!","Super handy and looks legit"
"3","Jenks","Too long","The book is too long and contains some unnecessary kill-crazy parts. Certainly good for historical reference but I wouldn't reccomend this as a source of spiritual or even moral inspiration."
"4","Bastrop","Yamaha ipod dock","Easy to connect"
"3","Suffield","Still have not received it","I have not yet received this camera ordered at beginning of September"
"1","Verona","Could have been better.","I'm sorry to say I read about half of it until I gave up and skipped to the end and partially read the last chapter.I dont know what it was about the book that just didn't keep me hooked. Thankfully I got it from the library so it didn't cost me anything.Hopefully Sigaloff's next book will entertain me more."
"2","Azle","This film had a point to make"," but we lose interest right.."
"4","Red Hill","Great Remote Mount Radio","This radio has the same features that most $300+ radios have"
"4","Bay St. Louis","Inspired movie!","I saw this movie on TBN channel last night and it was good. To the previous reviewer and anyone who is interested"
"3","Mountain Home","Can I give it 10 STARS? Repin' HARLEM to the Fullest","This is a remarkable book. Mr.Thomas you did your thang! This is the first real grown- up book I read back in 1995. I was sooo open I wanted to know everything that happened next. Piri was Wild! And knowing that this is an autobiography it's even more exciting. I love the way he represented the areas I've lived in or even went to school in. Piri told life how it really was and how it took him to learn about it. Growing up in Spanish Harlem put me on to a lot of Hispanics denying their African culture. It's true how some parents like Piri had act the same way as they did.I had the pleasure of meeting Piri Thomas at my school in Spanish Harlem also it was remarkable to picture such a character then really see him face to face although he was much much older. But it was still amazing. This book is Raw and it an absolute page turner let me tell you from a young Black teenager in Harlem THIS IS A VERY GOOD BOOK"
"2","Garfield Heights","Encounter With Alien Man","I would not recommend Space Aliens Took Me To Their Planet to those who disbelieve that the earth is being visited by spaceships (piloted by god-like people) because this book depicts such an encounter that took place in 1973 in France. ======= The book's emphasis is upon the alien's extensive message concerning mankind's origins"
"1","Fort Collins","you gotta know when to fold em Kenny","Ugh! Kenny Rogers doing a Whitney Houston ballad? He doesn't have the voice for any of these songs. Stick to what you know Kenny."
"2","Thonotosassa","Short Summary","These guys look like a couple of crackheads (especially the one on the left). Sad how they are being paid for this garbage. I guess a Jr. High School diploma and knowing your drugs gets you far in the ATL. Enjoy being rich and ignorant."
"2","Festus","Breathtaking cinematography"," invasive music"
"2","Mesquite","Basically To Kill A Mockingbird With Different Ethnicity","Would have given it a 1-star"
"3","Hampstead","Impassioned Drudgery","This movie"
"2","Florence-Graham","nibbling on kelp","Snow falling on ceders has all the warmth and cheer of the wet"
"4","Dodge City","Blu ray please!","I really enjoy this movie"
"3","Hinesville","A True Stinker","Cinematography is just ONE ingredient of a good film"
"2","Round Lake","Great Work Of Fiction","Its a shame this book fails in its promise to expose a conspiracy but it makes for some good fiction. The author seems to feel that FDR was a communist and the reason he allowed Pearl Harbor to be attacked is to spread communisim around the world.I was left confused and bewilderd by Mr. Willey's arguments as most of the evidence presented was taken out of order or mixed and matched to fit his argument."
